id,county,state,dem_2012,rep_2012,total_2012,percent_dem,percent_rep,single_score,cracker_barrel,whole_foods
48063,Camp,Texas,"1,428","2,881","4,309",0.331399,0.668601,-0.668600603,,
48065,Carson,Texas,292,"2,451","2,743",0.106453,0.893547,-0.893547211,,
48067,Cass,Texas,"2,924","8,763","11,687",0.250193,0.749807,-0.749807478,,
48069,Castro,Texas,630,"1,470","2,100",0.3,0.7,-0.7,,
48071,Chambers,Texas,"2,790","11,787","14,577",0.191397,0.808603,-0.808602593,,
48073,Cherokee,Texas,"3,875","12,094","15,969",0.242658,0.757342,-0.757342351,,
48075,Childress,Texas,320,"1,665","1,985",0.161209,0.838791,-0.838790932,,
48077,Clay,Texas,740,"4,266","5,006",0.147823,0.852177,-0.852177387,,
48079,Cochran,Texas,256,649,905,0.282873,0.717127,-0.717127072,,
48081,Coke,Texas,179,"1,218","1,397",0.128132,0.871868,-0.871868289,,
48083,Coleman,Texas,442,"3,012","3,454",0.127968,0.872032,-0.872032426,,
48085,Collin,Texas,"101,415","196,888","298,303",0.339973,0.660027,-0.660026885,1,2
48087,Collingsworth,Texas,177,962,"1,139",0.155399,0.844601,-0.844600527,,
48089,Colorado,Texas,"2,029","6,026","8,055",0.251893,0.748107,-0.748106766,,
48091,Comal,Texas,"11,450","39,318","50,768",0.225536,0.774464,-0.774464229,,
48093,Comanche,Texas,890,"3,944","4,834",0.184113,0.815887,-0.815887464,,
48095,Concho,Texas,194,793,987,0.196555,0.803445,-0.803444782,,
48097,Cooke,Texas,"2,246","11,951","14,197",0.158202,0.841798,-0.841797563,1,
48099,Coryell,Texas,"5,158","11,220","16,378",0.314935,0.685065,-0.685065332,,
48101,Cottle,Texas,180,555,735,0.244898,0.755102,-0.755102041,,
48103,Crane,Texas,275,985,"1,260",0.218254,0.781746,-0.781746032,,
48105,Crockett,Texas,480,957,"1,437",0.334029,0.665971,-0.665970772,,
48107,Crosby,Texas,639,"1,132","1,771",0.360813,0.639187,-0.6391869,,
48109,Culberson,Texas,568,295,863,0.658169,0.341831,0.658169177,,
48111,Dallam,Texas,253,"1,248","1,501",0.168554,0.831446,-0.831445703,,
48113,Dallas,Texas,"405,571","295,813","701,384",0.578244,0.421756,0.578243872,2,5
48115,Dawson,Texas,"1,019","2,591","3,610",0.282271,0.717729,-0.717728532,,
48117,De Witt,Texas,"1,467","5,122","6,589",0.222644,0.777356,-0.7773562,,
48119,Deaf Smith,Texas,"1,239","3,042","4,281",0.289418,0.710582,-0.71058164,,
48121,Delta,Texas,454,"1,524","1,978",0.229525,0.770475,-0.770475228,,
48123,Denton,Texas,"80,978","157,579","238,557",0.339449,0.660551,-0.660550728,2,
48125,Dickens,Texas,216,793,"1,009",0.214073,0.785927,-0.78592666,,
48127,Dimmit,Texas,"2,141",762,"2,903",0.737513,0.262487,0.737512918,,
48129,Donley,Texas,226,"1,287","1,513",0.149372,0.850628,-0.850627892,,
48131,Duval,Texas,"3,331",980,"4,311",0.772675,0.227325,0.772674553,,
48133,Eastland,Texas,970,"5,444","6,414",0.151232,0.848768,-0.848768319,,
48135,Ector,Texas,"8,118","24,010","32,128",0.252677,0.747323,-0.747323207,,
48137,Edwards,Texas,232,642,874,0.265446,0.734554,-0.734553776,,
48139,El Paso,Texas,"112,952","57,150","170,102",0.664025,0.335975,0.664025114,1,
48141,Ellis,Texas,"13,881","39,574","53,455",0.259676,0.740324,-0.740323637,,
48143,Erath,Texas,"1,965","10,329","12,294",0.159834,0.840166,-0.840165935,,
48145,Falls,Texas,"2,033","3,356","5,389",0.37725,0.62275,-0.622750046,,
48147,Fannin,Texas,"2,486","8,161","10,647",0.233493,0.766507,-0.766506997,,
48149,Fayette,Texas,"2,315","8,106","10,421",0.222148,0.777852,-0.777852413,,
48151,Fisher,Texas,512,"1,094","1,606",0.318804,0.681196,-0.681195517,,
48153,Floyd,Texas,551,"1,523","2,074",0.26567,0.73433,-0.734329797,,
48155,Foard,Texas,140,348,488,0.286885,0.713115,-0.713114754,,
48157,Fort Bend,Texas,"101,144","116,126","217,270",0.465522,0.534478,-0.534477839,1,1
48159,Franklin,Texas,751,"3,446","4,197",0.178937,0.821063,-0.821062664,,
48161,Freestone,Texas,"1,850","5,646","7,496",0.246798,0.753202,-0.753201708,,
48163,Frio,Texas,"2,376","1,559","3,935",0.603812,0.396188,0.603811944,,
48165,Gaines,Texas,535,"3,484","4,019",0.133118,0.866882,-0.866882309,,
48167,Galveston,Texas,"39,511","69,059","108,570",0.363922,0.636078,-0.636078106,1,
48169,Garza,Texas,279,"1,263","1,542",0.180934,0.819066,-0.819066148,,
48171,Gillespie,Texas,"2,055","10,306","12,361",0.166249,0.833751,-0.833751315,,
48173,Glasscock,Texas,44,526,570,0.077193,0.922807,-0.922807018,,
48175,Goliad,Texas,"1,127","2,294","3,421",0.329436,0.670564,-0.670564163,,
48177,Gonzales,Texas,"1,777","4,216","5,993",0.296513,0.703487,-0.703487402,,
48179,Gray,Texas,886,"6,443","7,329",0.12089,0.87911,-0.879110383,,
